test_endpoints.py:41: error: Item "None" of "IO[str] | None" has no attribute "read"  [union-attr]
KAiTix Docs/cli.py:508: error: Invalid index type "Column[str]" for "dict[str, float]"; expected type "str"  [index]
KAiTix Docs/cli.py:532: error: Argument "key" to "max" has incompatible type overloaded function; expected "Callable[[str], SupportsDunderLT[Any] | SupportsDunderGT[Any]]"  [arg-type]
KAiTix Docs/cli.py:533: error: Argument "key" to "min" has incompatible type overloaded function; expected "Callable[[str], SupportsDunderLT[Any] | SupportsDunderGT[Any]]"  [arg-type]
alembic/versions/bb2406ada639_cascade_delete_rules.py:79: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/bb2406ada639_cascade_delete_rules.py:87: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/bb2406ada639_cascade_delete_rules.py:95: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/bb2406ada639_cascade_delete_rules.py:99: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/bb2406ada639_cascade_delete_rules.py:100: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:131: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:135: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:143: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:147: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:155: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:163: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:167: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:175: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:176: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:191: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:199: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:200: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/b346b3c9139b_cascade_delete_constraints_v2.py:211: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/44396c87d2a5_add_device_shutdown_fields.py:182: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/44396c87d2a5_add_device_shutdown_fields.py:183: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/2464a98fc0e9_feat_add_ipam_models.py:60: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
alembic/versions/2464a98fc0e9_feat_add_ipam_models.py:62: error: Argument 1 to "drop_constraint" has incompatible type "None"; expected "str"  [arg-type]
KAiTix Docs/kentix.py:68: error: Argument "auth" to "get" has incompatible type "tuple[str, str | None] | None"; expected "tuple[str | bytes, str | bytes] | Callable[[Request], Request] | Auth | None"  [arg-type]
KAiTix Docs/kentix.py:136: error: No overload variant of "execute" of "Session" matches argument types "str", "dict[str, object]"  [call-overload]
KAiTix Docs/kentix.py:136: note: Possible overload variants:
KAiTix Docs/kentix.py:136: note:     def [_T: Any] execute(self, statement: TypedReturnsRows[_T], params: Sequence[Mapping[str, Any]] | Mapping[str, Any] | None = ..., *, execution_options: _OrmKnownExecutionOptions | Mapping[str, Any] = ..., bind_arguments: dict[str, Any] | None = ..., _parent_execute_state: Any | None = ..., _add_event: Any | None = ...) -> Result[_T]
KAiTix Docs/kentix.py:136: note:     def execute(self, statement: Executable, params: Sequence[Mapping[str, Any]] | Mapping[str, Any] | None = ..., *, execution_options: _OrmKnownExecutionOptions | Mapping[str, Any] = ..., bind_arguments: dict[str, Any] | None = ..., _parent_execute_state: Any | None = ..., _add_event: Any | None = ...) -> Result[Any]
tests/test_eplan.py:172: error: Argument 1 to "float" has incompatible type "float | None"; expected "str | Buffer | SupportsFloat | SupportsIndex"  [arg-type]
tests/test_eplan.py:187: error: Argument 1 to "float" has incompatible type "float | None"; expected "str | Buffer | SupportsFloat | SupportsIndex"  [arg-type]
scratch/create_test_device.py:2: error: Module "app.core.database" has no attribute "async_session_maker"; maybe "async_sessionmaker"?  [attr-defined]
tests/test_mysql_integration.py:27: error: Skipping analyzing "testcontainers.mysql": module is installed, but missing library stubs or py.typed marker  [import-untyped]
scratch/import_eplan_power.py:5: error: Cannot find implementation or library stub for module named "app.services.eplan_parser"  [import-not-found]
scratch/import_eplan_power.py:5: note: See https://mypy.readthedocs.io/en/stable/running_mypy.html#missing-imports
Found 33 errors in 11 files (checked 144 source files)
